Purchase Report
----------------------------------------------------------------------------------------------------------------------------------------------
Purchase ID    Customer             Book Title                                                                                           Price   
----------------------------------------------------------------------------------------------------------------------------------------------
00000001       Leonard Acosta       Bridge to Terabithia                                                                                 $6.02    
00000002       Ivy Dunn             �?нна Каренина                                                                            $0.83    
00000003       Uma Garrison         Die Verwandlung                                                                                      $7.31    
00000004       Zephr Dean           The City of Ember                                                                                    $7.98    
00000005       Montana Carr         The Chronicles of Narnia                                                                             $4.89    
00000006       Zia Hansen           One Flew Over the Cuckoo's Nest                                                                      $9.82    
00000007       Ariana Delaney       A Feast for Crows                                                                                    $3.59    
00000008       Zephr Dean           Divine Secrets of the Ya-Ya Sisterhood                                                               $7.22    
00000009       Nash Hardin          City of Ashes                                                                                        $4.33    
00000010       Fuller Whitley       The Eye of the World                                                                                 $2.02    
00000011       Trevor Salinas       The Sun Also Rises                                                                                   $2.88    
00000012       Cleo Lara            The Martian                                                                                          $8.13    
00000013       Reese Sampson        Bel Canto                                                                                            $0.88    
00000014       Maggie Atkinson      Winnie-the-Pooh                                                                                      $3.38    
00000015       Zephr Dean           A Brief History of Time: From the Big Bang to Black Holes                                            $4.39    
00000016       Jane Contreras       The Ocean at the End of the Lane                                                                     $8.07    
00000017       Patrick Snider       The 7 Habits of Highly Effective People                                                              $1.24    
00000018       Serena Wiley         The Stand                                                                                            $7.78    
00000019       Kareem Robertson     The Immortal Life of Henrietta Lacks                                                                 $6.40    
00000020       Leonard Acosta       Northanger Abbey                                                                                     $9.13    
00000021       Malcolm Henry        Mistborn : The Final Empire                                                                          $7.18    
00000022       Adrian Haley         Stranger in a Strange Land                                                                           $2.55    
00000023       Zia Hansen           A Walk in the Woods                                                                                  $3.01    
00000024       Hakeem Shaffer       Twilight                                                                                             $4.12    
00000025       Len Wood             The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story                                  $8.29    
00000026       Audra Whitley        Stargirl                                                                                             $6.16    
00000027       Thor Clarke          Into the Wild                                                                                        $9.86    
00000028       Shelley Kidd         The Thorn Birds                                                                                      $5.59    
00000029       Abbot Stanley        Brisingr                                                                                             $7.09    
00000030       Josiah Mccoy         If You Give a Mouse a Cookie                                                                         $2.69    
00000031       Trevor Salinas       The Tragedy of Macbeth                                                                               $9.36    
00000032       Lucy Hodges          Matilda                                                                                              $5.95    
00000033       Uma Garrison         Never Let Me Go                                                                                      $3.87    
00000034       Jane Contreras       Lord of the Flies                                                                                    $9.17    
00000035       Fuller Whitley       A Streetcar Named Desire                                                                             $8.98    
00000036       Kerry Kramer         Oh, the Places You'll Go!                                                                            $5.79    
00000037       Roary Haney          Les Misérables                                                                                      $1.13    
00000038       Montana Carr         The Tell-Tale Heart                                                                                  $6.85    
00000039       Leonard Acosta       Catching Fire                                                                                        $6.33    
00000040       Kenyon Cherry        A Confederacy of Dunces                                                                              $0.94    
